02ddd0c4-f27a-4954-ba53-94aadec0f0df => [-] 
fd9e3cc3-9053-4410-97f1-df1f7dcb878c => [-] 
f9e7a2f1-e658-47f5-b005-a6eef4b6c11e => [-] 
b5c57799-00c4-45a7-a4d9-8ecd5795f4bb => [-] 比想象中要大呢…………以后的游戏能不能也用上这个设定呢…………大型的载具总是很有吸引力吧…………                                 
7824f9cb-1b05-40af-ac6f-d533a790e897 => [-] 到时候把船上面的NPC角色给做成我们游戏开发部的部员，这艘船就是我们的了……哈哈哈哈哈哈                                  
b89154bf-590e-4ded-98a5-20c8d79070d5 => [-] 
9d6c0d51-28bd-4072-bd5a-89920c7bbf8c => [-] 呜……如果不开飞机改开飞船的话…………好像也不是不行………………                                       
424b238f-2810-4c55-b3a3-a619875c249c => [-] 这么大的飞船，不过好像有点太大了……塞不下了……                                         
46c5ef60-1b4e-4eb4-8b2e-f4a8130eb34a => [-] 这个是不是比真琴她们的飞船更有排面呢……？                                   
64799ea2-6018-4947-8593-50e8061573af => [-] 不会让我们开这个船上去吧……？                           
dce2f1ae-ca2b-4d77-81c0-27f727771029 => [-] 要是我们也有这么大的船…………                         
73089047-45ac-45c4-8a4a-3cf1d4ce3fac => [-] …到时候接委托的时候………那个帅气…………………呜……真不错呢…………                                          
1a21d888-d129-49db-90bc-e80be60e7c0d => [-] 看起来社长又在像什么奇奇怪怪的东西了………………                             
6f580b28-e8d7-4dea-89ab-2531566b2933 => [-] 
dd666192-6eb7-49e1-8299-0437bb641b9b => [琳] 是吗…………？                  
31db3e1e-c815-4639-a40e-a5209e102628 => [琳] 可能是上次被我狠狠敲诈了一笔………                            
4f059c9f-3493-4f5d-873f-3adcfc5dcc40 => [-] 
b83acd24-ab84-4401-81e4-bf46cec5d5a6 => [綠] 我们把爱丽丝带上来真的没关系吗……？                        
74ef7aae-52d0-4007-b33f-8efee0d9c66d => [日鞠] 没关系哦，倒不如说正好…………让Kei和爱丽丝见一面…………                                 
3a26b278-0981-4fb9-b689-0b62e9d61611 => [優香] 呀……sensei…………又见面了…………
13af7978-54b5-4015-a3e6-f1556daaea82 => [日鞠] 如果不是由我这个超天才美少女来亲自帮你，你们恐怕连这个飞船都开动不了呢……                                     
6a11b05d-e3a2-4a9d-96a4-f5723c7d251d => [琳] sensei，根据我们之前的计划，我们从天上接近方舟后，还需要破坏它表面的屏障才能够到达内部……                                          
89414822-6e7d-4285-83e3-87d98b7506c9 => [琳] 屏障我们得需要进行巨大的能量才有可能将其贯穿……可是我们并没有那样的能量，就算有我们也没有合适的武器进行发射……                                                        
4b8b12f1-43dd-4029-ae2b-80c7da8b6380 => [日鞠] 唯一合适的武器——轨道炮也因为爱丽丝醒不来无法使用呢…………                                        
